"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\components\MonthYearPicker.tsx", "TypeScript JSX", 24, 0, 0, 0, 6, 30
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\dashboard\nav-links.tsx", "TypeScript JSX", 23, 0, 0, 0, 4, 27
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\dashboard\page.tsx", "TypeScript JSX", 13, 0, 0, 1, 1, 15
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\footer.tsx", "TypeScript JSX", 53, 0, 0, 0, 4, 57
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\globals.css", "CSS", 0, 0, 21, 0, 5, 26
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\header.tsx", "TypeScript JSX", 17, 0, 0, 0, 1, 18
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\homepage\main.tsx", "TypeScript JSX", 46, 0, 0, 0, 2, 48
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\homepage\page.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 13
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\homepage\thongbao.tsx", "TypeScript JSX", 44, 0, 0, 0, 2, 46
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\layout.tsx", "TypeScript JSX", 41, 0, 0, 0, 4, 45
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\login\page.tsx", "TypeScript JSX", 56, 0, 0, 1, 13, 70
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\menu.tsx", "TypeScript JSX", 89, 0, 0, 8, 5, 102
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\page.tsx", "TypeScript JSX", 99, 0, 0, 0, 3, 102
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\rule\page.tsx", "TypeScript JSX", 39, 0, 0, 0, 4, 43
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\chungcu\chinhsua.tsx", "TypeScript JSX", 53, 0, 0, 0, 7, 60
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\chungcu\dongtien.tsx", "TypeScript JSX", 26, 0, 0, 0, 5, 31
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\chungcu\filter.tsx", "TypeScript JSX", 69, 0, 0, 0, 15, 84
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\chungcu\phichungcu.tsx", "TypeScript JSX", 32, 0, 0, 1, 4, 37
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\chungcu\qlmucphi\chinhsua.tsx", "TypeScript JSX", 49, 0, 0, 1, 6, 56
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\chungcu\qlmucphi\mucphi.tsx", "TypeScript JSX", 136, 0, 0, 0, 8, 144
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\chungcu\table.tsx", "TypeScript JSX", 151, 0, 0, 3, 12, 166
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\chungcu\useFilter.tsx", "TypeScript JSX", 32, 0, 0, 0, 5, 37
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\page.tsx", "TypeScript JSX", 36, 0, 0, 0, 4, 40
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\quyengop\dongtien.tsx", "TypeScript JSX", 26, 0, 0, 0, 5, 31
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\quyengop\filter\filter.tsx", "TypeScript JSX", 39, 0, 0, 0, 5, 44
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\quyengop\filter\qgfilter.tsx", "TypeScript JSX", 74, 0, 0, 0, 4, 78
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\quyengop\phiquyengop.tsx", "TypeScript JSX", 24, 0, 0, 0, 4, 28
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\quyengop\table.tsx", "TypeScript JSX", 87, 0, 0, 0, 6, 93
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\feeservice\quyengop\themchiendich.tsx", "TypeScript JSX", 34, 0, 0, 0, 7, 41
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\cutru\cutru.tsx", "TypeScript JSX", 11, 0, 0, 0, 2, 13
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\cutru\filter.tsx", "TypeScript JSX", 39, 0, 0, 0, 4, 43
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\cutru\table.tsx", "TypeScript JSX", 87, 0, 0, 15, 11, 113
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\hogiadinh\chitiet.tsx", "TypeScript JSX", 54, 0, 0, 2, 11, 67
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\hogiadinh\filter.tsx", "TypeScript JSX", 36, 0, 0, 0, 4, 40
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\hogiadinh\hogiadinh.tsx", "TypeScript JSX", 23, 0, 0, 0, 3, 26
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\hogiadinh\nhankhau\lichsubd.tsx", "TypeScript JSX", 80, 0, 0, 0, 7, 87
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\hogiadinh\nhankhau\nhankhau.tsx", "TypeScript JSX", 99, 0, 0, 0, 6, 105
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\hogiadinh\nhankhau\themnguoi.tsx", "TypeScript JSX", 64, 0, 0, 4, 5, 73
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\hogiadinh\phuongtien\phuongtien.tsx", "TypeScript JSX", 68, 0, 0, 0, 3, 71
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\hogiadinh\phuongtien\themphuongtien.tsx", "TypeScript JSX", 44, 0, 0, 3, 5, 52
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\hogiadinh\table.tsx", "TypeScript JSX", 86, 0, 0, 1, 10, 97
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\page.tsx", "TypeScript JSX", 31, 0, 0, 0, 1, 32
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\app\service\personservice\phantrang.tsx", "TypeScript JSX", 35, 0, 0, 0, 4, 39
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\redux\StoreProvider.tsx", "TypeScript JSX", 15, 0, 0, 1, 2, 18
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\redux\globalSlice.tsx", "TypeScript JSX", 32, 0, 0, 0, 3, 35
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\redux\hooks.tsx", "TypeScript JSX", 5, 0, 0, 1, 1, 7
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\redux\store.tsx", "TypeScript JSX", 12, 0, 0, 2, 2, 16
"d:\Code\Projects\smart-apt\smart-apartment-fe\src\utils\axiosConfig.ts", "TypeScript", 0, 33, 0, 6, 5, 44
"Total", "-", 2246, 33, 21, 50, 240, 2590